ID,HL1,HL2,HL3,HL4,HL5,HL6,HL7,HL8,HL9,HL10,HL11,Market,Region,Location,Location ID,Job Family Group(MW)/Code (SE),Job Sub Family,Gender,Ethnicity,Tenure Bands,Engagement Survey Participant Type,Nursing Satisfaction/Magnet Survey Participant,COE1,COE2,COE3,COE4,Comment: Reason to Stay,Comment: Reason to Leave,Comment: Well-Being at Work,Comment: Well-Being Outside Work,Comment:  Burnout Reason,Comment:  Burnout Improvement,Comment: What is important for us to know?
75,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,Physician,,U,A,3,,,,,4,5,The organization offers a variety of career development opportunities.,The organization does not prioritize patient safety.,Providing resources for healthy living can promote better habits.,Encouraging healthy sleep habits can improve overall well-being.,The job requires working in a noisy environment.,Creating a culture that values and prioritizes mental health is crucial.,The benefits package is competitive and comprehensive.
76,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,N,SE,,,,,M,T,4,,,,,5,4,I appreciate the organization's commitment to employee wellness.,I want to pursue a different career path.,Encouraging mindfulness and meditation practices can improve well-being.,Supporting personal development and growth can be motivating.,Lack of recognition from leadership.,Regularly reviewing and improving workplace policies can ensure they support staff well-being.,There is a need for more mentorship for new employees.
77,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,F,SE,,,,,F,H,5,,,,,4,3,The organization provides a stable and supportive work environment.,The organizational policies are too restrictive.,Offering access to fitness facilities can improve physical health.,Providing access to mental health counseling can enhance well-being.,The job involves dealing with high levels of uncertainty.,Providing access to professional counseling services can address mental health issues.,I feel respected and valued by my colleagues.
78,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,,,U,AA,1,,,,,3,5,I have the opportunity to work with a diverse and talented team.,There is a lack of professional development opportunities.,Providing resources for work-life balance can reduce stress.,Encouraging participation in sports leagues can build team spirit.,The organization has a focus on profit over people.,Encouraging staff to take regular vacations can help them recharge.,The workload can be challenging but rewarding.
79,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,Atrium,SE,,,Nursing,,M,W,1,,,,,4,3,The organization offers competitive compensation packages.,The work environment is not conducive to my well-being.,Encouraging participation in cultural and recreational activities can improve morale.,Supporting family-friendly policies can reduce stress for working parents.,The job requires working in high-stakes situations.,Implementing a flexible work-from-home policy for non-clinical staff can reduce burnout.,There is a lack of support for career progression.
80,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,IL,MW,,,Administration,,F,ME,2,,,,,4,4,I feel respected and valued as a healthcare professional.,I feel the workload is too demanding.,Supporting mental health awareness can reduce stigma.,Offering resources for healthy living can promote better habits.,Lack of support for innovation.,Offering workshops on mindfulness and relaxation techniques can be beneficial.,I appreciate the organization's commitment to community health.
81,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,Physician,,U,A,3,,,,,4,5,The organization supports my professional growth and development.,The benefits do not align with my needs.,Offering flexible working hours can help manage personal commitments.,Providing access to wellness programs can enhance overall well-being.,The job involves dealing with frequent emergencies.,Providing access to financial wellness programs can reduce financial stress.,The technology and equipment need upgrading.
82,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,N,SE,,,,,M,T,4,,,,,5,4,I appreciate the organization's focus on quality improvement.,The organization does not value employee input.,Providing resources for stress management can reduce burnout.,Encouraging mindfulness and meditation practices can improve well-being.,The organization has a punitive approach to mistakes.,Creating a supportive and inclusive work culture can improve overall well-being.,The leadership team is approachable and supportive.
83,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,F,SE,,,,,F,H,5,,,,,4,3,The organization provides a positive and collaborative work culture.,I feel the work schedule is not flexible.,Encouraging social connections and friendships at work can improve morale.,Supporting hobbies and personal interests can improve morale.,The job requires working with limited oversight.,Offering team-building activities can strengthen relationships and reduce stress.,There is a need for better work-life balance initiatives.
84,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,,,U,AA,1,,,,,3,5,I have access to cutting-edge medical research and innovations.,There is a lack of recognition for achievements.,Supporting family-friendly policies can reduce stress for working parents.,Offering access to fitness facilities can improve physical health.,Lack of access to wellness programs.,Providing opportunities for creative expression can be a great stress reliever.,I feel proud to be part of a patient-focused organization.
85,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,Atrium,SE,,,Nursing,,M,W,1,,,,,3,3,The organization values my contributions to patient care.,The organizational culture is not supportive.,Offering on-site wellness programs can enhance well-being.,Providing resources for work-life balance can reduce stress.,The job involves high levels of responsibility.,Encouraging staff to take breaks and use their PTO is important.,The staffing levels are sometimes inadequate.
86,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,IL,MW,,,Administration,,F,ME,2,,,,,3,4,I feel empowered to make a difference in the lives of patients.,I want to work in a different healthcare environment.,Creating a supportive and inclusive work culture is crucial.,Encouraging participation in cultural and recreational activities can improve morale.,The organization has a focus on productivity over quality.,Offering access to mental health resources and support is crucial.,There is a strong sense of teamwork and collaboration.
87,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,Physician,,U,A,3,,,,,3,5,The organization offers a variety of professional development opportunities.,The management does not communicate effectively.,Providing access to wellness apps and resources can promote healthy habits.,Supporting mental health awareness can reduce stigma.,The job requires working in a high-stress environment.,Implementing regular check-ins with supervisors can address concerns early.,The organization's policies can be restrictive and outdated.
88,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,N,SE,,,,,M,T,4,,,,,2,4,I appreciate the organization's commitment to patient safety.,I feel the compensation is not competitive.,Encouraging participation in mindfulness and relaxation practices can improve well-being.,Offering flexible working hours can help manage personal commitments.,Lack of opportunities for relaxation and de-stressing.,Providing opportunities for professional development can keep staff motivated.,I appreciate the opportunities for professional development.
89,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,F,SE,,,,,F,H,5,,,,,4,3,The organization provides a supportive and inclusive work environment.,The work environment is not positive.,Supporting team collaboration can improve overall well-being.,Providing access to financial education can reduce stress.,The job involves dealing with complex cases.,Creating a culture that values and appreciates employees is important.,The workload can be stressful at times.
90,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,,,U,AA,1,,,,,5,5,I have the opportunity to work with the latest medical technology.,There is a lack of opportunities for growth.,Offering resources for healthy eating can promote better nutrition.,Encouraging social connections and friendships outside of work can improve morale.,The organization has a lack of transparency.,Offering access to on-site fitness facilities can improve physical health.,There is a need for better communication between teams.
91,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,Atrium,SE,,,Nursing,,M,W,1,,,,,4,3,The organization values and supports my work-life balance.,The organizational policies are not employee-friendly.,Providing access to outdoor spaces can enhance well-being.,Supporting physical fitness and exercise can improve overall health.,The job requires constant learning and adaptation.,Providing opportunities for socializing outside of work can strengthen team bonds.,The benefits package meets my needs and expectations.
92,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,IL,MW,,,Administration,,F,ME,2,,,,,3,4,I feel a strong sense of community and belonging.,I feel the workload is too heavy.,Encouraging participation in community service can promote a sense of purpose.,Offering discounts on wellness retreats and activities can be beneficial.,Lack of support for professional networking.,Encouraging a culture of continuous learning and growth can keep staff engaged.,I feel that my contributions are recognized and valued.
93,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,Physician,,U,A,3,,,,,4,5,The organization offers competitive health and wellness benefits.,The benefits package is not adequate.,Offering financial incentives for wellness goals can be motivating.,Providing resources for stress management can reduce burnout.,The job involves high levels of decision-making.,Offering flexible scheduling options can help manage personal commitments.,The technology and systems could use improvement.
94,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,N,SE,,,,,M,T,4,,,,,5,4,I have access to resources for continuing education and training.,There is a lack of support for professional growth.,Supporting professional development and growth can keep staff motivated.,Encouraging healthy lifestyle choices can improve overall well-being.,The organization has a lack of vision.,Providing regular training on stress management techniques can be helpful.,The management is supportive and communicative.
95,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,F,SE,,,,,F,H,5,,,,,2,3,The organization promotes a culture of respect and dignity.,The work environment is not safe.,Providing resources for work-life balance can reduce stress.,Supporting personal development and growth can be motivating.,The job requires dealing with ethical dilemmas.,Creating a supportive and inclusive work environment is crucial.,There is a lack of opportunities for career advancement.
96,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,,,U,AA,1,,,,,1,5,I appreciate the organization's focus on patient-centered care.,The organizational culture is not inclusive.,Encouraging participation in wellness challenges can be motivating.,Providing access to mental health support can enhance well-being.,Lack of opportunities for peer support.,Offering access to wellness programs and resources can improve overall well-being.,I appreciate the organization's focus on patient-centered care.
97,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,Physician,,U,A,3,,,,,4,3,The organization provides ample opportunities for career advancement.,I feel my contributions are not valued.,Offering flexible PTO policies can help manage personal time better.,Encouraging participation in community service can promote a sense of purpose.,The job involves high levels of documentation.,Encouraging open communication and feedback can address concerns early.,The work environment can be stressful and demanding.
98,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,N,SE,,,,,M,T,4,,,,,4,4,I feel respected and valued by my colleagues and supervisors.,The organization does not prioritize employee well-being.,Creating a culture of respect and dignity is important.,Supporting family time and personal commitments can enhance morale.,The organization has a focus on short-term goals.,Providing opportunities for professional development and growth is motivating.,There is a strong emphasis on teamwork and collaboration.
99,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,F,SE,,,,,F,H,5,,,,,2,5,The organization offers a positive and collaborative work environment.,I want to explore new career opportunities.,Providing access to wellness programs can enhance well-being.,Offering access to wellness coaching can enhance overall well-being.,The job requires dealing with high levels of accountability.,Offering access to mental health support and resources is essential.,The management could be more responsive to employee concerns.
100,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,,,U,AA,1,,,,,2,3,I am proud to be part of an organization that makes a positive impact on the community.,There is a lack of support from management.,Encouraging participation in social and recreational activities can boost morale.,Providing resources for healthy eating can promote better nutrition.,Lack of opportunities for personal growth.,Creating a culture that prioritizes employee well-being can reduce burnout.,I feel that my professional development is supported.
